358997SJA017286,937931
358997SK7000475,214189
358997SK7005522,827083.0001
48575443C5228C9E,-110694.9995
358997SK7001776,939948.0005
YXF7S19904006981,286192.0009
485754434B18BA9F,961682.0004
485754434B45399F,286625.0004
ZTEEG9FKA904057,6571.000411
ZTEEG9FKAC08562,551040.0001
YXF7S19904000525,-1731.999262
ZTEEG9FKBK04319,515164.0008
ZTEEG9FKC510616,493100.0006
ZTEEG9FKBK05997,-120720.9992
YXF7S19918001280,950609.0009
YXFDW19C12001446,746643.0004
ZTEEG9FKC705665,242816.0001
ZTEEG9FKC711274,74398.00028
YXFDW19C12001589,112580.0007
YXFDW19C13001818,912426.0004
ZTEEG9FKC508427,71131.00082
YXFDW19C12002186,916931.0008
YXFDW19C20000809,578959.0006
YXFDW19C16000584,744864.9999
ZTEEG9FKCR00535,-34783.99908
22023D9000191,986439.0002
22023E0000684,979458.9999
2.02003E+13,249452.0006
ZTEEG9FL1E00064,483285.0008
