
		Plnt	SLoc	Description	Matl Group	Material	MTyp	Material description	BUn	      Unrestricted	Value Unrestricted	Quality Inspection	Value in QualInsp.	           Blocked	Value BlockedStock	   Transit/Transf.	Val. in Trans./Tfr	           Returns	Value Rets Blocked	    Restricted-Use	  Value Restricted
		2000	1900	2K_G_Wrls_LCN_SP	73150000	800534	ZOSI	KRONE TRMNL BLCK SRS DISCNCT MDLE 1-0	PC	            2,192	       409,283.12	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43222600	801146	ZOSI	19inch EQUIPMENT RACK	PC	                5	       434,453.83	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S807	803012	ZOSI	10AT DC BREAKER ABB (ASIA BROWN BOVERY)	PC	               18	        10,971.53	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	803032	ZOSI	STM1 optical transceiver	PC	                4	        31,441.81	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	803037	ZOSI	Optical transceiver_GbE,SX(s.rch,MM,500m	PC	               44	       233,894.18	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	26121609	803080	ZOSI	Optical Patch cords, single mode	PC	              994	       722,971.69	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	803086	ZOSI	ODF 24 Ports	PC	                4	        67,379.82	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S807	803123	ZOSI	40A DC BREAKER NADER	PC	               17	        23,756.24	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	26121607	803457	ZOSI	FIBER OPTIC CABLES SM 24 Core	M	            6,000	       156,264.80	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221700	803469	ZOSI	FDU 19-23 RACK MOUNTABLE 24FIBERS SC COM	PC	               19	        58,839.94	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S855	803577	ZOSI	2350923Ass comp/Frnt -Acc HiDens ExtdFrm	PC	                1	        11,779.50	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S855	803580	ZOSI	2350902BrdBand Conv Card Comp/Extd Frame	PC	                1	         2,293.10	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S855	803598	ZOSI	34060333OptlTransSFP1550nm1.25Gb/sLX40Km	PC	                1	         5,106.68	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	803741	ZOSI	Matrix768STM1(120Gbps)4c/4/3/2/1XDM1K/2K	PC	                4	       656,008.81	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	803746	ZOSI	10.3G 10G -LR trcvr mod,1310nm,PIN rcvr	PC	                1	        52,157.40	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	803748	ZOSI	LineCard for 10.7Gbps (G.709) opt mod	PC	                4	        19,808.71	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S858	804167	ZOSI	2.2m DC Assembly Cabinet	PC	                2	        36,686.20	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221705	804325	ZOSI	HUAWEI INDOOR CABINET 2.2M FRONT ACCESS	PC	                1	        13,223.39	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S855	804326	ZOSI	HUAWEI SUBS CABLE 32 CHANNEL 30M	PC	                5	         6,988.36	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S843	804581	ZOSI	LC TYPE ATTENUATOR (2 db)	PC	                3	         8,935.67	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221700	804842	ZOSI	CONNECT POWER BOARD	PC	               11	         6,223.77	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221700	804845	ZOSI	SUPER CONTROL UNIT BOARD	PC	                2	       135,475.77	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	804975	ZOSI	FO TRANSCEIVER 100BASE-SX SFP	PC	               96	       224,419.42	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221700	805217	ZOSI	3-CELL FABRIC INNER DUCT	M	            3,757	       753,581.62	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S843	805556	ZOSI	BMF/MDF (10way)	PC	              111	        52,328.73	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221700	805595	ZOSI	48 PORT SPLICING & TERMINATION UNIT	PC	               12	        67,551.87	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	26110000	805597	ZOSI	RechargeableBattery8HrsBackUpRating100AH	PC	                2	        82,881.26	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S855	805700	ZOSI	HARNESS FO1D500 (HDMCS)	PC	                1	         5,593.31	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S855	805747	ZOSI	SFP 1310NM 1.25gb/s SM 10KM	PC	                2	        11,692.51	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221705	805853	ZOSI	FC-TYPE ATTENUATOR 15DB	PC	               92	        59,108.21	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221700	806776	ZOSI	FO TRANSCEIVER S-1.1 SFP	PC	                2	         5,158.31	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43222609	806835	ZOSI	HT SFP 10G/10FE 80KM	PC	                3	       306,811.74	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	26121609	807054	ZOSI	FIBER PATCHCORD LC-SC SINGLE/DUPLEX 5M	PC	               38	        44,572.01	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221705	807193	ZOSI	Wire,450/750V(RV)25mm^2,blue	M	               80	        15,640.55	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	26121609	807229	ZOSI	CABLE-ASSY GROUND (35MM2) TERM M6/M6 30M	PC	                9	       221,151.66	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807232	ZOSI	Heat Buffer ETSI/19 rack	PC	                1	         5,360.40	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S851	807317	ZOSI	1310SM IR1 OC12	PC	               15	        58,340.73	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S855	807397	ZOSI	AC POWER BOARD, POWER BACKUP	PC	                1	         7,839.46	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	39121004	807583	ZOSI	5800w EMERSON RECTIFIER MODULE	PC	                2	        49,717.66	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807617	ZOSI	Cisco IOS XR IP/MPLS Core Software 3DES	PC	                3	       712,498.50	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807680	ZOSI	CABLE I/O+ALR XDM TO XRAP-B 2.7M	PC	                1	         3,992.26	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807685	ZOSI	Cable Power 3W3S/5W5P -XRAP-B L=2.7M	PC	                7	        13,450.18	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807688	ZOSI	CABLE ASSY MCP ALARM TO CLIENT (L111) 10	PC	                1	         2,536.72	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807689	ZOSI	CABLE ASSY MCP ALARM TO CLIENT (L111) 5M	PC	                3	         9,348.37	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807692	ZOSI	FG for ETSI (UPPER)	SET	                4	        42,634.11	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807696	ZOSI	ETSI MOUNTING INSTALLATION FOR BG-30B	SET	               17	        10,843.15	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807697	ZOSI	TERM.RING M8 25MM2#CRIMP TIN	PC	              111	        47,806.47	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807698	ZOSI	C.BRK 55A 80VDC 1POLE	PC	               14	        14,134.04	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221700	807702	ZOSI	TERM.LUG 1/4X2 2AWG CR RA  BRN	PC	              129	        72,714.30	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807704	ZOSI	Ground cable-WIRE 35MM2 - M6 -L=20M	ROL	                9	        76,139.76	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	39121435	807707	ZOSI	WIRE 35MM2 PLEXPWR PVC/BLK 30M	ROL	                5	        91,709.07	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807713	ZOSI	Blank Panel I/O	PC	                4	         2,241.97	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807716	ZOSI	Power Cable 3W3, 2.7M	PC	               36	        50,499.76	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807728	ZOSI	FG for ETSI  (LOWER)	PC	                2	        18,029.67	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807729	ZOSI	Mini slot divider kit	PC	                1	         1,420.82	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807731	ZOSI	CABLE-ASSY ALARM XDM450TOXRAP100/D L=2.7	PC	                4	        14,419.33	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S851	807815	ZOSI	Power Cable(12/2 AWG)red&black	ROL	               53	       596,972.70	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S851	807816	ZOSI	Power Cable(10/2 AWG) red&black	ROL	               40	       626,568.51	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S851	807821	ZOSI	LED/ALARM BOARD,PACKAGED	PC	                4	         8,461.20	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S851	807830	ZOSI	PWR CBL, DSUB 3 TO OE, 2M6	PC	                3	         4,441.81	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S851	807831	ZOSI	FAN MODULE, F/ 6335, PKGD	PC	                3	        16,091.71	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S851	807854	ZOSI	Fiber excess tray	PC	                6	        66,875.40	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S851	807879	ZOSI	DB9 to RJ45 Adapter	PC	                1	           299.17	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S851	807880	ZOSI	CBL MOD RJ45 CAT5 Ethernet Grey	PC	                1	           119.07	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S851	807888	ZOSI	COV PLATE F/ PIM/TIP MDL, 1U, SC3 SUBR	PC	               22	        16,198.09	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S851	807931	ZOSI	LC-SC SMF Optical Cable duplex 20m	SET	                2	         5,727.16	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S851	807946	ZOSI	4port OC-3c/STM-1cMultiServicePLM-SMF IR	PC	                1	       312,638.53	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S855	807947	ZOSI	HARNESS FOR HI DNSTY MAIN CONTROL SUBRCK	PC	                3	        20,595.29	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807949	ZOSI	WIRE 50MM2 372X0.4 PVC/BLK 100M	PC	               15	     1,469,014.77	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807950	ZOSI	WIRE 50MM2 372X0.4 PVC/RED 100M	PC	               15	     1,509,485.62	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807952	ZOSI	WIRE 35MM2 FLEXPWR PVC/RED 100M	PC	                1	        59,639.79	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807953	ZOSI	WIRE 25MM2 184X0.4 PVC/BLK 50M	PC	                2	       136,215.53	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807955	ZOSI	WIRE 16MM2 320/.25 PVC BLK 100M	PC	                7	        84,348.89	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807960	ZOSI	CABLE-ASSY GROUND (35MM2)TERM. M6/M6 L30	PC	                1	        25,769.26	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807961	ZOSI	Ground cable-WIRE 50MM2 - M6 -L=30M	PC	               12	       357,075.78	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221700	807975	ZOSI	ETSI Optical 2.2m rack - 010	PC	                5	       233,095.12	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	807985	ZOSI	Ground cable-WIRE 35MM2 - M6 -L=30M	ROL	                2	        49,736.08	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221600	808002	ZOSI	5PT PROTECTION MAGZN TYPE 10PR DISC MDL	PC	               23	        35,385.38	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	26121607	808029	ZOSI	72-CORE SM FIBER OPTIC CABLE G.652	M	              300	        10,462.32	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221705	808731	ZOSI	ME-CX2-N63B-ETSI-RACK (2200*600*300mm)	PC	               16	       402,050.61	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221705	808733	ZOSI	ME-CX2-16PORT-E1-FLEX-INTFCARD	PC	                1	        13,505.13	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221705	808838	ZOSI	DWDM-PTCRD-LC-SNGLEMOD-3M	PC	               11	         3,359.99	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221705	808839	ZOSI	DWDM-FIX-OPT-ATTNTR-13101550NM	PC	                8	         5,256.62	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	26121609	809097	ZOSI	Optical Patch Cord(PCS)	PC	              218	        89,258.28	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221705	809300	ZOSI	DWDM-40CH-DEMUX-BOARD-100GHZ-THERMAL-LC	PC	               12	       289,009.51	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221705	809301	ZOSI	DWDM-40CH-MUX-BOARD-VOA-100GHZ-LC	PC	               13	     1,008,091.47	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	S854	809334	ZOSI	ETSI Optical 2.2m rack (070)	PC	                2	        51,211.21	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43221708	809467	ZOSI	MW-Acc-FlexibleWaveguide-7/8G-0.9m-PBR84	PC	               96	     1,072,798.56	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
